parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
endurance_min,10,8.20.3,4,20.0,3,5.206639062128462,5.165112146659988,0.7975762285987731,1,0.044309139251708984
endurance_min,15,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.07688689231872559
endurance_min,15,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450863,23.0620824831396,2,0.05927109718322754
endurance_min,15,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207767,14.335468327988753,2,0.0666801929473877
endurance_min,15,6.10.1,3,10.0,1,2.49929641184406,2.1864030290635723,12.519258672068634,2,0.05006980895996094
endurance_min,15,6.10.2,3,10.0,2,2.5101479224037377,2.2098117758090607,11.964878400754674,2,0.04182314872741699
endurance_min,15,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415533,14.335468327988753,2,0.05220460891723633
endurance_min,15,6.20.1,3,20.0,1,4.99859282368812,4.987127890473223,0.22936321519457792,1,0.017422914505004883
endurance_min,15,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.027874231338500977
endurance_min,15,6.20.3,3,20.0,3,4.166688353295826,4.123114791436034,1.0457600416725499,1,0.016998767852783203
endurance_min,15,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.46961092948913574
endurance_min,15,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.19517016410827637
endurance_min,15,8.5.3,4,5.0,3,1.3016597655321156,1.0391321649805165,20.168680595599298,3,0.5935359001159668
endurance_min,15,8.10.1,4,10.0,1,2.8208919285798464,2.265467415272897,19.689677143589577,2,0.4026908874511719
endurance_min,15,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.14094305038452148
endurance_min,15,8.10.3,4,10.0,3,2.603319531064231,2.0793358623060856,20.127520364123043,3,0.2100071907043457
endurance_min,15,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.1429450511932373
endurance_min,15,8.20.2,4,20.0,2,4.767272279612657,4.724127736058933,0.9050153006412542,1,0.12293887138366699
endurance_min,15,8.20.3,4,20.0,3,5.206639062128462,5.165112146659988,0.7975762285987731,1,0.04867720603942871
endurance_min,30,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.09077811241149902
endurance_min,30,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450863,23.0620824831396,2,0.056835174560546875
endurance_min,30,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207767,14.335468327988753,2,0.06668472290039062
endurance_min,30,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.07913422584533691
endurance_min,30,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901726,23.0620824831396,2,0.05785870552062988
endurance_min,30,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415533,14.335468327988753,2,0.06620407104492188
endurance_min,30,6.20.1,3,20.0,1,4.99859282368812,3.899617488826851,21.98569424685426,2,0.06009817123413086
endurance_min,30,6.20.2,3,20.0,2,5.0202958448074755,3.862511076180345,23.0620824831396,2,0.04627585411071777
endurance_min,30,6.20.3,3,20.0,3,4.166688353295826,3.5693740640831066,14.335468327988753,2,0.06093788146972656
endurance_min,30,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.6081268787384033
endurance_min,30,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.21301507949829102
endurance_min,30,8.5.3,4,5.0,3,1.3016597655321156,1.0391321649805167,20.168680595599277,3,0.6106789112091064
endurance_min,30,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.47229695320129395
endurance_min,30,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.2122340202331543
endurance_min,30,8.10.3,4,10.0,3,2.603319531064231,2.0782643299610335,20.168680595599277,3,0.3185567855834961
endurance_min,30,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,0.4577159881591797
endurance_min,30,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.30204010009765625
endurance_min,30,8.20.3,4,20.0,3,5.206639062128462,4.158671724612171,20.127520364123043,3,0.36693811416625977
endurance_min,60,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.07252717018127441
endurance_min,60,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450863,23.0620824831396,2,0.04735684394836426
endurance_min,60,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207767,14.335468327988753,2,0.06655287742614746
endurance_min,60,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.07870006561279297
endurance_min,60,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901726,23.0620824831396,2,0.06178927421569824
