parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
alpha,0.5,6.5.1,3,5.0,1,1.24964820592203,1.2426566551502938,0.559481519567151,1,0.11428403854370117
alpha,0.5,6.5.2,3,5.0,2,1.2550739612018689,1.2550739612018689,0.0,0,0.08916497230529785
alpha,0.5,6.5.3,3,5.0,3,1.0416720883239565,1.0416720883239565,0.0,0,0.062222957611083984
alpha,0.5,6.10.1,3,10.0,1,2.49929641184406,2.4853133103005876,0.559481519567151,1,0.09792590141296387
alpha,0.5,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.08449888229370117
alpha,0.5,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.06044602394104004
alpha,0.5,6.20.1,3,20.0,1,4.99859282368812,4.970626620601175,0.559481519567151,1,0.08174896240234375
alpha,0.5,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.09197306632995605
alpha,0.5,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.05780911445617676
alpha,0.5,8.5.1,4,5.0,1,1.4104459642899232,1.399132895306912,0.8020916270058409,1,0.6245870590209961
alpha,0.5,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.25051188468933105
alpha,0.5,8.5.3,4,5.0,3,1.3016597655321156,1.2735908090471773,2.1563973342499265,1,0.329103946685791
alpha,0.5,8.10.1,4,10.0,1,2.8208919285798464,2.798265790613824,0.8020916270058409,1,0.8254382610321045
alpha,0.5,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.2847771644592285
alpha,0.5,8.10.3,4,10.0,3,2.603319531064231,2.5471816180943545,2.1563973342499265,1,0.3455967903137207
alpha,0.5,8.20.1,4,20.0,1,5.641783857159693,5.596531581227648,0.8020916270058409,1,0.5590300559997559
alpha,0.5,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.3020176887512207
alpha,0.5,8.20.3,4,20.0,3,5.206639062128462,5.094363236188709,2.1563973342499265,1,0.31043004989624023
alpha,1.0,6.5.1,3,5.0,1,1.24964820592203,1.24964820592203,0.0,0,0.0630488395690918
alpha,1.0,6.5.2,3,5.0,2,1.2550739612018689,1.2550739612018689,0.0,0,0.0675652027130127
alpha,1.0,6.5.3,3,5.0,3,1.0416720883239565,1.0416720883239565,0.0,0,0.057691097259521484
alpha,1.0,6.10.1,3,10.0,1,2.49929641184406,2.49929641184406,0.0,0,0.0778350830078125
alpha,1.0,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.06808686256408691
alpha,1.0,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.05795097351074219
alpha,1.0,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.045278072357177734
alpha,1.0,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.0548551082611084
alpha,1.0,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.05394101142883301
alpha,1.0,8.5.1,4,5.0,1,1.4104459642899232,1.4104459642899232,0.0,0,0.6964762210845947
alpha,1.0,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.21392202377319336
alpha,1.0,8.5.3,4,5.0,3,1.3016597655321156,1.3016597655321156,0.0,0,0.24350905418395996
alpha,1.0,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,0.6735551357269287
alpha,1.0,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.2129991054534912
alpha,1.0,8.10.3,4,10.0,3,2.603319531064231,2.603319531064231,0.0,0,0.21546697616577148
alpha,1.0,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.6154487133026123
alpha,1.0,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.15497589111328125
alpha,1.0,8.20.3,4,20.0,3,5.206639062128462,5.206639062128462,0.0,0,0.18526315689086914
