parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
alpha,0.5,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.16935515403747559
alpha,0.5,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.08674335479736328
alpha,0.5,8.5.1,4,5.0,1,1.4104459642899232,1.399132895306912,0.8020916270058409,1,1.4793343544006348
alpha,0.5,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.3692901134490967
alpha,0.5,8.5.3,4,5.0,3,1.3016597655321154,1.2735908090471773,2.1563973342499043,1,0.7074968814849854
alpha,0.5,8.10.1,4,10.0,1,2.8208919285798464,2.798265790613824,0.8020916270058409,1,0.9187817573547363
alpha,0.5,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.3271312713623047
alpha,0.5,8.10.3,4,10.0,3,2.6033195310642308,2.5471816180943545,2.1563973342499043,1,0.7119557857513428
alpha,0.5,8.20.1,4,20.0,1,5.641783857159693,5.596531581227648,0.8020916270058409,1,1.0561516284942627
alpha,0.5,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.6059544086456299
alpha,0.5,8.20.3,4,20.0,3,5.2066390621284615,5.094363236188708,2.1563973342499265,1,0.8509831428527832
alpha,1.0,6.5.1,3,5.0,1,1.24964820592203,1.24964820592203,0.0,0,0.08176779747009277
alpha,1.0,6.5.2,3,5.0,2,1.2550739612018689,1.2550739612018689,0.0,0,0.19306182861328125
alpha,1.0,6.5.3,3,5.0,3,1.0416720883239565,1.0416720883239565,0.0,0,0.07900762557983398
alpha,1.0,6.10.1,3,10.0,1,2.49929641184406,2.49929641184406,0.0,0,0.10100317001342773
alpha,1.0,6.10.2,3,10.0,2,2.5101479224037377,2.5101479224037377,0.0,0,0.23135805130004883
alpha,1.0,6.10.3,3,10.0,3,2.083344176647913,2.083344176647913,0.0,0,0.08055663108825684
