parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
drone_speed_mph,35,6.20.2,3,20.0,2,5.0202958448074755,4.4196235516181215,11.964878400754674,2,0.1291193962097168
drone_speed_mph,35,6.20.3,3,20.0,3,4.166688353295826,3.9059443869341868,6.257822622020493,1,0.06386804580688477
drone_speed_mph,35,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.9668869972229004
drone_speed_mph,35,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.3639066219329834
drone_speed_mph,35,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,0.7253623008728027
drone_speed_mph,35,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.8684935569763184
drone_speed_mph,35,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.5033352375030518
drone_speed_mph,35,8.10.3,4,10.0,3,2.6033195310642308,2.0782643299610335,20.168680595599263,3,1.1621646881103516
drone_speed_mph,35,8.20.1,4,20.0,1,5.641783857159693,5.145256662891872,8.800890052491184,1,0.5628273487091064
drone_speed_mph,35,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.4722750186920166
drone_speed_mph,35,8.20.3,4,20.0,3,5.2066390621284615,4.922225857638379,5.462510481258809,2,0.726900577545166
drone_speed_mph,50,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.24277758598327637
drone_speed_mph,50,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.1500406265258789
drone_speed_mph,50,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.08639264106750488
drone_speed_mph,50,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.26659440994262695
drone_speed_mph,50,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901721,23.062082483139623,2,0.21704554557800293
drone_speed_mph,50,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415529,14.335468327988776,2,0.11202836036682129
drone_speed_mph,50,6.20.1,3,20.0,1,4.99859282368812,3.899617488826851,21.98569424685426,2,0.40445470809936523
drone_speed_mph,50,6.20.2,3,20.0,2,5.0202958448074755,3.8625110761803443,23.062082483139623,2,0.16211891174316406
drone_speed_mph,50,6.20.3,3,20.0,3,4.166688353295826,3.569374064083106,14.335468327988766,2,0.11350321769714355
drone_speed_mph,50,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.880687952041626
drone_speed_mph,50,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.44739699363708496
drone_speed_mph,50,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,0.8788425922393799
drone_speed_mph,50,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.7344410419464111
drone_speed_mph,50,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.3721425533294678
drone_speed_mph,50,8.10.3,4,10.0,3,2.6033195310642308,2.0782643299610335,20.168680595599263,3,1.3276581764221191
drone_speed_mph,50,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,0.7056758403778076
drone_speed_mph,50,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.6162376403808594
drone_speed_mph,50,8.20.3,4,20.0,3,5.2066390621284615,4.158671724612171,20.12752036412303,3,1.2286982536315918
drone_speed_mph,75,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.2858703136444092
drone_speed_mph,75,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.21735382080078125
drone_speed_mph,75,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.09893608093261719
drone_speed_mph,75,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.18170952796936035
