parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
endurance_min,15,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,0.33376526832580566
endurance_min,15,8.20.2,4,20.0,2,4.767272279612657,4.724127736058933,0.9050153006412542,1,0.2721092700958252
endurance_min,15,8.20.3,4,20.0,3,5.2066390621284615,5.165112146659988,0.7975762285987509,1,0.1165475845336914
endurance_min,30,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.23859477043151855
endurance_min,30,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.1562814712524414
endurance_min,30,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.08837485313415527
endurance_min,30,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.2774031162261963
endurance_min,30,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901721,23.062082483139623,2,0.21938061714172363
endurance_min,30,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415529,14.335468327988776,2,0.11259722709655762
endurance_min,30,6.20.1,3,20.0,1,4.99859282368812,3.899617488826851,21.98569424685426,2,0.41359996795654297
endurance_min,30,6.20.2,3,20.0,2,5.0202958448074755,3.8625110761803443,23.062082483139623,2,0.1640486717224121
endurance_min,30,6.20.3,3,20.0,3,4.166688353295826,3.569374064083106,14.335468327988766,2,0.10299968719482422
endurance_min,30,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.9016332626342773
endurance_min,30,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.4767568111419678
endurance_min,30,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,0.901301383972168
endurance_min,30,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.7396018505096436
endurance_min,30,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.370563268661499
endurance_min,30,8.10.3,4,10.0,3,2.6033195310642308,2.0782643299610335,20.168680595599263,3,1.3491253852844238
endurance_min,30,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,0.7175960540771484
endurance_min,30,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.6244595050811768
endurance_min,30,8.20.3,4,20.0,3,5.2066390621284615,4.158671724612171,20.12752036412303,3,1.2584261894226074
endurance_min,60,6.5.1,3,5.0,1,1.24964820592203,0.9118271479913667,27.033292756292816,3,0.2012617588043213
endurance_min,60,6.5.2,3,5.0,2,1.2550739612018689,0.9656277690450861,23.062082483139623,2,0.14959192276000977
endurance_min,60,6.5.3,3,5.0,3,1.0416720883239565,0.8923435160207764,14.335468327988776,2,0.1282036304473877
endurance_min,60,6.10.1,3,10.0,1,2.49929641184406,1.8236542959827333,27.033292756292816,3,0.23668789863586426
endurance_min,60,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901721,23.062082483139623,2,0.17579913139343262
endurance_min,60,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415529,14.335468327988776,2,0.09106087684631348
endurance_min,60,6.20.1,3,20.0,1,4.99859282368812,3.6473085919654666,27.033292756292816,3,0.1312577724456787
endurance_min,60,6.20.2,3,20.0,2,5.0202958448074755,3.8625110761803443,23.062082483139623,2,0.1865246295928955
endurance_min,60,6.20.3,3,20.0,3,4.166688353295826,3.5693740640831058,14.335468327988776,2,0.11231207847595215
endurance_min,60,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.8837504386901855
endurance_min,60,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.4094877243041992
endurance_min,60,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,1.3615999221801758
endurance_min,60,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.969618558883667
endurance_min,60,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.37155580520629883
endurance_min,60,8.10.3,4,10.0,3,2.6033195310642308,2.0782643299610335,20.168680595599263,3,1.1315207481384277
endurance_min,60,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,1.2878212928771973
endurance_min,60,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.41807055473327637
endurance_min,60,8.20.3,4,20.0,3,5.2066390621284615,4.156528659922067,20.168680595599263,3,1.3639588356018066
