parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
alpha,1.0,12.10.3,6,10.0,3,3.3806734923933623,3.3806734923933623,0.0,0,1.1091248989105225
alpha,1.0,12.20.1,6,20.0,1,6.258084185544436,6.258084185544436,0.0,0,2.7657251358032227
alpha,1.0,12.20.2,6,20.0,2,6.3139768928592845,6.3139768928592845,0.0,0,2.482938766479492
alpha,1.0,12.20.3,6,20.0,3,6.761346984786725,6.761346984786725,0.0,0,0.8243000507354736
alpha,1.0,16.10.1,8,10.0,1,3.743495371296359,3.743495371296359,0.0,0,1094.8753848075867
alpha,1.0,16.10.2,8,10.0,2,3.9258531455995223,3.9258531455995223,0.0,0,1089.976373910904
alpha,1.0,16.10.3,8,10.0,3,4.316121616491997,4.316121616491997,0.0,0,46.37447690963745
alpha,1.0,16.20.1,8,20.0,1,7.486990742592718,7.486990742592718,0.0,0,51.46433210372925
alpha,1.0,16.20.2,8,20.0,2,7.8517062911990445,7.8517062911990445,0.0,0,812.0870389938354
alpha,1.0,16.20.3,8,20.0,3,8.632243232983994,8.632243232983994,0.0,0,38.50545597076416
